"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat May 23 13:55:03 IDT 2020","Sat May 23 13:55:16 IDT 2020","13501","Default Suite","MobileFinalProject","SanityTests.experiBankMobile","SanityTests.experiBankMobile","makeOnePayment","Send Payment","Test Description: Send 1$ as payment"
"failed","Sat May 23 14:15:48 IDT 2020","Sat May 23 14:15:49 IDT 2020","984","Suite","Mobile Test","SanityTests.experiBankMobile","SanityTests.experiBankMobile","error","ERROR","Test Description: ERROR occurred - screenshot is taken automatically"
"passed","Sat May 23 14:14:41 IDT 2020","Sat May 23 14:15:48 IDT 2020","66956","Suite","Mobile Test","SanityTests.experiBankMobile","SanityTests.experiBankMobile","takeMortgage","Take Mortgage Request","Test Description: Take a mortgage for 10 years to buy a home"
"passed","Sat May 23 13:54:59 IDT 2020","Sat May 23 13:55:03 IDT 2020","3847","Default Suite","MobileFinalProject","SanityTests.experiBankMobile","SanityTests.experiBankMobile","login","Login","Test Description: login to my account"
"passed","Sat May 23 14:14:16 IDT 2020","Sat May 23 14:14:21 IDT 2020","4492","Suite","Mobile Test","SanityTests.experiBankMobile","SanityTests.experiBankMobile","login","Login","Test Description: login to my account"
"passed","Sat May 23 13:55:16 IDT 2020","Sat May 23 13:56:01 IDT 2020","44166","Default Suite","MobileFinalProject","SanityTests.experiBankMobile","SanityTests.experiBankMobile","takeMortgage","Take Mortgage Request","Test Description: Take a mortgage for 10 years to buy a home"
"failed","Sat May 23 13:56:01 IDT 2020","Sat May 23 13:56:01 IDT 2020","735","Default Suite","MobileFinalProject","SanityTests.experiBankMobile","SanityTests.experiBankMobile","error","ERROR","Test Description: ERROR occurred - screenshot is taken automatically"
"passed","Sat May 23 14:14:21 IDT 2020","Sat May 23 14:14:41 IDT 2020","20365","Suite","Mobile Test","SanityTests.experiBankMobile","SanityTests.experiBankMobile","makeOnePayment","Send Payment","Test Description: Send 1$ as payment"
